traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20
879,-6.94550753,-5.6687789,4.73628855,8.60342789,2.87872577,-2.08720636,8.3127203,12.5671349,9.27280807,-5.34635687,-3.23924875,13.7763615,-1.86992574,8.46882629,4.31730986,-8.76888657,-2.26086354,2.62513161,-1.24806738,-5.76402617
880,-6.94142628,-5.70772362,4.6894083,8.6382122,2.85443044,-2.06746459,8.31564522,12.7027617,9.060256,-5.55766916,-3.23262453,13.788332,-1.64962173,8.41966248,4.33471298,-8.91983318,-2.05693293,2.65727353,-1.29327369,-5.72539568
881,-6.93601799,-5.7466526,4.63984966,8.67277718,2.83029389,-2.04989004,8.3180027,12.8274326,8.85672092,-5.7509985,-3.2317071,13.7985706,-1.44030106,8.3727951,4.34398365,-9.0545578,-1.86910248,2.69096017,-1.33623719,-5.68724203
882,-6.93223906,-5.78461695,4.5911746,8.70708942,2.80672646,-2.0310123,8.32078266,12.9533911,8.63694096,-5.95167017,-3.23586726,13.8071604,-1.21752334,8.32095242,4.34851408,-9.18855762,-1.67406213,2.73221183,-1.38290906,-5.64685535
883,-6.92454481,-5.82338047,4.53636456,8.7412529,2.7819109,-2.01800227,8.32141685,13.060317,8.45000458,-6.11505938,-3.24351573,13.813467,-1.02956784,8.27814579,4.34562111,-9.29768372,-1.51454222,2.76768947,-1.42221916,-5.60819244
884,-6.91896248,-5.86060715,4.48442936,8.77489567,2.75861692,-2.00220847,8.32324314,13.1707602,8.24255943,-6.28984022,-3.25626707,13.8184023,-0.823788464,8.22974968,4.33887243,-9.40801525,-1.34404922,2.81099391,-1.46577847,-5.56844521
885,-6.91482735,-5.89703369,4.43294144,8.80817699,2.73551345,-1.98603332,8.32507324,13.2804413,8.02409744,-6.46752596,-3.27372766,13.8208275,-0.610075414,8.17717361,4.32825804,-9.51593304,-1.17072606,2.86050916,-1.51236546,-5.52654362
886,-6.91895008,-5.93299389,4.38376284,8.84188843,2.71161437,-1.9653883,8.32759285,13.4060755,7.74529266,-6.68902683,-3.30060387,13.8176355,-0.341435224,8.10090256,4.31543636,-9.64411449,-0.952914894,2.93477845,-1.57693219,-5.47213745
887,-6.91842699,-5.96835041,4.33148861,8.87494755,2.6885972,-1.94829118,8.32955265,13.5141401,7.49852562,-6.87399626,-3.33106065,13.8137627,-0.104660697,8.03702831,4.294415,-9.74744606,-0.773124218,2.99944711,-1.63201714,-5.42306519
888,-6.91238928,-6.00325537,4.27542067,8.90720844,2.66622305,-1.93583727,8.3303318,13.6040707,7.29544687,-7.01788044,-3.36020899,13.8104944,0.0887899473,7.98834705,4.26973152,-9.82731342,-0.633610725,3.05038619,-1.67532539,-5.38059855
889,-6.91419268,-6.03734493,4.22230911,8.9396677,2.64352298,-1.91899204,8.33205605,13.7065554,7.03478241,-7.19965982,-3.40132785,13.8003445,0.334607452,7.91734982,4.24035215,-9.92212391,-0.457021624,3.12482214,-1.73550379,-5.32674551
890,-6.92340469,-6.06833839,4.17775679,8.97147083,2.62400746,-1.89417446,8.33765888,13.8184738,6.70759678,-7.41676235,-3.46242809,13.7828903,0.638958693,7.82341433,4.20106173,-10.0227861,-0.248791322,3.22294998,-1.81139421,-5.26617241
891,-6.92061996,-6.1031456,4.11599302,9.00361061,2.59919429,-1.88482893,8.33604431,13.9012871,6.48927355,-7.55553389,-3.50403404,13.7683811,0.84333533,7.76469088,4.16492796,-10.0952854,-0.115250207,3.28652763,-1.86262143,-5.21319532
892,-6.92031622,-6.13526058,4.05967999,9.03478813,2.57759356,-1.87111998,8.33707905,13.9849682,6.24459553,-7.70338011,-3.55658364,13.7506943,1.06852412,7.69784689,4.12316942,-10.1646004,0.0253222454,3.35854745,-1.91875553,-5.15996218
893,-6.92949295,-6.16569281,4.00806856,9.0661068,2.55592775,-1.8519336,8.33992004,14.0784054,5.92826271,-7.88949919,-3.63094544,13.7203846,1.35926855,7.60284328,4.06956244,-10.2444563,0.199116647,3.45831013,-1.99501979,-5.09245396
894,-6.93118858,-6.19649649,3.95026159,9.09669304,2.53459692,-1.83874774,8.34076977,14.1552954,5.67313433,-8.03020668,-3.69458842,13.6941729,1.59118354,7.52880812,4.01966715,-10.3058567,0.331316799,3.53662205,-2.05542731,-5.03401613
895,-6.93372822,-6.22629547,3.89283848,9.12692738,2.51386642,-1.82508945,8.34198761,14.229557,5.41107798,-8.16823769,-3.76411963,13.6639757,1.82772577,7.45218039,3.96523738,-10.3634081,0.458785623,3.61718607,-2.11730838,-4.97395849
896,-6.94570208,-6.25428009,3.84019637,9.15722942,2.4928472,-1.80648446,8.34492302,14.3098125,5.07796478,-8.33886147,-3.85930777,13.6168947,2.12908196,7.34582853,3.89634919,-10.4279146,0.612732112,3.72467065,-2.19927049,-4.89908934
897,-6.95595837,-6.28070259,3.78879046,9.18676949,2.47426081,-1.78744113,8.34916496,14.3821383,4.75568342,-8.49247837,-3.95818162,13.5675049,2.41757584,7.2431798,3.82499957,-10.4822388,0.749875724,3.82655072,-2.27689695,-4.82801867
898,-6.96241665,-6.30856514,3.72870851,9.21629429,2.45289779,-1.77478111,8.34973049,14.4465351,4.47092676,-8.62141037,-4.04746342,13.5184612,2.67179084,7.15200043,3.75566888,-10.5311575,0.862806797,3.91606545,-2.3464787,-4.7571311
899,-6.97088957,-6.33471966,3.67049122,9.24528599,2.4327383,-1.76074588,8.35131741,14.507781,4.17357683,-8.74882984,-4.14574766,13.4624128,2.93508744,7.05386972,3.68198681,-10.5765924,0.973405719,4.00999022,-2.41954517,-4.6832037
900,-6.97718096,-6.36075878,3.60960484,9.27381802,2.41280675,-1.74867845,8.35214233,14.5636368,3.89397836,-8.86130333,-4.24116755,13.4055996,3.18063283,6.96098661,3.60908771,-10.6169891,1.07049775,4.09719944,-2.48793411,-4.61149883
901,-6.98687363,-6.3850503,3.55161285,9.30194473,2.39336896,-1.73477745,8.3539381,14.6173296,3.58994961,-8.97748184,-4.34961891,13.3376083,3.44627166,6.85657024,3.52896523,-10.6556768,1.16821063,4.1921711,-2.56250596,-4.53446293
902,-7.0020237,-6.40735435,3.49788046,9.32996559,2.37493896,-1.71697509,8.35804844,14.6689558,3.24036717,-9.10332966,-4.48111773,13.2509546,3.75177717,6.73161173,3.4353466,-10.693327,1.26992381,4.30055952,-2.64792156,-4.44882631
903,-7.01224518,-6.43015766,3.43709445,9.35748959,2.35579586,-1.70427799,8.35952663,14.7144299,2.93747902,-9.20368767,-4.59700298,13.1707172,4.01389313,6.62278414,3.34924603,-10.726759,1.35012197,4.39315605,-2.72207403,-4.36736965
904,-7.01612091,-6.45286608,3.37360215,9.38411045,2.33772039,-1.69486141,8.3597641,14.7549953,2.68281698,-9.27957439,-4.69513941,13.102046,4.22870731,6.53435087,3.27400732,-10.7541389,1.41215575,4.46829987,-2.78254032,-4.29666281
905,-7.03416061,-6.47254229,3.31683826,9.41115665,2.31879759,-1.6786648,8.36315823,14.7939119,2.32126832,-9.38605881,-4.8435483,12.9888897,4.54077196,6.39490461,3.16887641,-10.7856913,1.4900682,4.57733393,-2.87088585,-4.20050859
906,-7.05124855,-6.49085617,3.26068044,9.43770981,2.30109525,-1.6624558,8.36722374,14.8276434,1.96854079,-9.47904205,-4.99266815,12.8712177,4.84167576,6.25754499,3.0640111,-10.8132086,1.55563426,4.68081951,-2.95534301,-4.10563469
907,-7.06278086,-6.50994158,3.19903231,9.46356487,2.28330541,-1.65055346,8.36892986,14.8579025,1.66112149,-9.55122089,-5.12330961,12.7630291,5.09955311,6.13739443,2.96949029,-10.8376627,1.60697865,4.76970339,-3.02858019,-4.01843405
908,-7.08110189,-6.52555561,3.14526558,9.48932743,2.26727128,-1.63286102,8.37481594,14.881918,1.29644489,-9.62829781,-5.28600025,12.6241541,5.40465879,5.98970127,2.85896754,-10.859972,1.65678358,4.87191248,-3.11305261,-3.92058802
909,-7.0889225,-6.54395819,3.07783651,9.51415443,2.24902248,-1.6253792,8.37384987,14.9066839,1.02576506,-9.67782211,-5.40322495,12.5177937,5.62715197,5.88169956,2.76993036,-10.8824701,1.6876874,4.94691896,-3.17591286,-3.83608198
910,-7.10639811,-6.55844402,3.02014256,9.53905869,2.23202538,-1.61085749,8.37768078,14.9236584,0.675990224,-9.73619652,-5.56320667,12.3674259,5.91570473,5.73440027,2.65935922,-10.9034119,1.7190063,5.04180384,-3.25550628,-3.73580098
911,-7.12217999,-6.57234621,2.96000934,9.56352806,2.21547079,-1.59770155,8.38097,14.9375238,0.342003435,-9.78243542,-5.71777296,12.2161741,6.18775129,5.59195566,2.55199146,-10.9233074,1.74053097,5.13009501,-3.33006024,-3.63673377
912,-7.14080143,-6.58429384,2.904531,9.58782482,2.2002244,-1.58149171,8.38685799,14.9445896,-0.0187586322,-9.82287121,-5.88910055,12.0417538,6.47882223,5.43456697,2.43753409,-10.9408464,1.75550067,5.22242928,-3.40819001,-3.53362012
913,-7.15499067,-6.59666586,2.84178209,9.61138248,2.18352008,-1.57053995,8.38892937,14.9520054,-0.338054657,-9.85031128,-6.03986025,11.8800335,6.73329735,5.29383945,2.33161688,-10.9601583,1.75974739,5.30229664,-3.47616911,-3.4343791
914,-7.16495752,-6.60922575,2.77705741,9.63421249,2.1681757,-1.56136477,8.39024925,14.959218,-0.623601913,-9.8659544,-6.17406178,11.7320547,6.95531321,5.16894341,2.23641658,-10.9775095,1.75913811,5.37211561,-3.53544927,-3.34360647
915,-7.18339968,-6.61821842,2.71896052,9.65727901,2.15237331,-1.54740751,8.39491844,14.9551144,-0.978589535,-9.88017082,-6.34726858,11.5312405,7.23369169,5.00576258,2.12026596,-10.9953585,1.7478466,5.45556498,-3.60660291,-3.23595309
916,-7.19947433,-6.62681007,2.65856266,9.67984676,2.13700867,-1.53499031,8.39879036,14.94946,-1.31387222,-9.88345146,-6.51094246,11.3335228,7.49154329,4.8506279,2.01017928,-11.0129137,1.72966266,5.53204155,-3.67171717,-3.13141799
917,-7.21936512,-6.63300991,2.60519052,9.70246983,2.12342811,-1.51793647,8.40693665,14.9334669,-1.68561673,-9.87608242,-6.69666004,11.1006231,7.7734127,4.67553282,1.89302206,-11.027895,1.70266867,5.61341047,-3.74087763,-3.02177453
918,-7.23260784,-6.64049006,2.54120398,9.72402477,2.10807371,-1.50837326,8.40896034,14.923852,-1.99476051,-9.8616333,-6.84715652,10.900938,8.0049963,4.52904081,1.78839004,-11.0469503,1.6686573,5.67840052,-3.79567409,-2.92031932
919,-7.2420826,-6.64802647,2.47613096,9.74484539,2.09417605,-1.50000501,8.41056347,14.9153824,-2.27533817,-9.83920193,-6.98251724,10.716836,8.20837688,4.39756346,1.69476759,-11.0643368,1.63461137,5.73605967,-3.84372878,-2.82701635
920,-7.26397991,-6.65045452,2.42473745,9.76672554,2.08035326,-1.48218489,8.41999722,14.882926,-2.66662264,-9.80118179,-7.1802206,10.4337168,8.49388504,4.20556831,1.57323718,-11.0809031,1.5782299,5.81163216,-3.90695333,-2.71072483
921,-7.27778149,-6.65454102,2.36354256,9.78736401,2.06613278,-1.47124863,8.42390347,14.8598738,-2.98644781,-9.75899696,-7.33737946,10.1975517,8.72137833,4.0493784,1.4693538,-11.0998888,1.52172613,5.87029552,-3.95500278,-2.60756087
922,-7.28942776,-6.65850449,2.30024505,9.80735874,2.05255437,-1.46180451,8.42686558,14.8373032,-3.28612089,-9.71057701,-7.48279285,9.96971989,8.93016911,3.90240526,1.37168729,-11.1192741,1.46196401,5.92313051,-3.99750853,-2.5085237
923,-7.30245399,-6.66075945,2.24000907,9.82727718,2.03910351,-1.45070505,8.43144321,14.8072329,-3.60296535,-9.65076447,-7.63752317,9.71766853,9.14686966,3.74593949,1.27168584,-11.1387119,1.39252639,5.97565365,-4.0390625,-2.40688014
924,-7.31775379,-6.66137552,2.18440509,9.84738064,2.02646732,-1.43655086,8.43911076,14.7667294,-3.9449234,-9.57599926,-7.80553055,9.43164539,9.37656498,3.57587981,1.16811121,-11.1577835,1.31125295,6.02880812,-4.08041286,-2.3021431
925,-7.32760143,-6.66294909,2.12113261,9.86627388,2.01358461,-1.4276427,8.44225597,14.7350445,-4.23617887,-9.50267887,-7.94402981,9.1845026,9.56720734,3.43114543,1.07644403,-11.1789179,1.23213232,6.07088041,-4.11163378,-2.20640373
926,-7.34000969,-6.66273594,2.06301236,9.88543415,2.00122309,-1.41551042,8.44860172,14.6918421,-4.55585146,-9.41329575,-8.09708023,8.89946842,9.77260017,3.27161741,0.980828702,-11.1999178,1.14009726,6.11369658,-4.14262819,-2.10703492
927,-7.34427023,-6.6633153,2.00173807,9.90423012,2.0054729,-1.3970443,8.46541691,14.6544418,-4.8048749,-9.32159042,-8.21522427,8.6808691,9.93175697,3.14534092,0.912112534,-11.2144318,1.07304037,6.14814854,-4.16703081,-2.03032732
928,-7.36010313,-6.66146231,1.94352734,9.92224216,1.97699392,-1.39432847,8.45915699,14.6032429,-5.15856266,-9.21566772,-8.37827682,8.33854103,10.1444578,2.97211909,0.803632379,-11.2439041,0.944542348,6.1841321,-4.18942165,-1.91852927
929,-7.36407375,-6.66178942,1.88012493,9.93952656,1.96788216,-1.3862021,8.46287346,14.5697393,-5.40339088,-9.12006664,-8.48809242,8.11342049,10.2861233,2.85520291,0.733024061,-11.2636309,0.860340059,6.21025658,-4.20463085,-1.83855617
