framework,algorithm,phase,mode,tier,transfers,n,setting_kind,setting,samples,min_ms,p05_ms,median_ms,p95_ms,max_ms
julia,tsit5,numerical,fixed,fixed,both,1024,dt,0.0625,1,0.081235,0.081235,0.081235,0.081235,0.081235
julia,tsit5,numerical,fixed,fixed,none,1024,dt,0.0625,1,0.035565,0.035565,0.035565,0.035565,0.035565
julia,tsit5,numerical,fixed,fixed,both,1024,dt,0.03125,1,0.081786,0.081786,0.081786,0.081786,0.081786
julia,tsit5,numerical,fixed,fixed,none,1024,dt,0.03125,1,0.040949,0.040949,0.040949,0.040949,0.040949
julia,tsit5,numerical,fixed,fixed,both,1024,dt,0.015625,1,0.091712,0.091712,0.091712,0.091712,0.091712
julia,tsit5,numerical,fixed,fixed,none,1024,dt,0.015625,1,0.052619,0.052619,0.052619,0.052619,0.052619
julia,tsit5,numerical,fixed,fixed,both,1024,dt,0.0078125,1,0.11503,0.11503,0.11503,0.11503,0.11503
julia,tsit5,numerical,fixed,fixed,none,1024,dt,0.0078125,1,0.074709,0.074709,0.074709,0.074709,0.074709
julia,tsit5,numerical,fixed,fixed,both,1024,dt,0.00390625,1,0.161051,0.161051,0.161051,0.161051,0.161051
julia,tsit5,numerical,fixed,fixed,none,1024,dt,0.00390625,1,0.121925,0.121925,0.121925,0.121925,0.121925
julia,tsit5,numerical,fixed,fixed,both,1024,dt,0.001953125,1,0.319652,0.319652,0.319652,0.319652,0.319652
julia,tsit5,numerical,fixed,fixed,none,1024,dt,0.001953125,1,0.263461,0.263461,0.263461,0.263461,0.263461
julia,tsit5,numerical,fixed,fixed,both,1024,dt,0.0009765625,1,0.495458,0.495458,0.495458,0.495458,0.495458
julia,tsit5,numerical,fixed,fixed,none,1024,dt,0.0009765625,1,0.407882,0.407882,0.407882,0.407882,0.407882
julia,tsit5,numerical,fixed,fixed,both,1024,dt,0.00048828125,1,0.858677,0.858677,0.858677,0.858677,0.858677
julia,tsit5,numerical,fixed,fixed,none,1024,dt,0.00048828125,1,0.805803,0.805803,0.805803,0.805803,0.805803
julia,tsit5,numerical,fixed,fixed,both,1024,dt,0.000244140625,1,1.600515,1.600515,1.600515,1.600515,1.600515
julia,tsit5,numerical,fixed,fixed,none,1024,dt,0.000244140625,1,1.53806,1.53806,1.53806,1.53806,1.53806
julia,tsit5,numerical,fixed,fixed,both,1024,dt,0.0001220703125,1,3.074287,3.074287,3.074287,3.074287,3.074287
julia,tsit5,numerical,fixed,fixed,none,1024,dt,0.0001220703125,1,2.989198,2.989198,2.989198,2.989198,2.989198
julia,tsit5,numerical,adaptive,julia,both,1024,tol,0.010000000000000002,1,0.089929,0.089929,0.089929,0.089929,0.089929
julia,tsit5,numerical,adaptive,julia,none,1024,tol,0.010000000000000002,1,0.049524,0.049524,0.049524,0.049524,0.049524
julia,tsit5,numerical,adaptive,julia,both,1024,tol,0.001,1,0.093882,0.093882,0.093882,0.093882,0.093882
julia,tsit5,numerical,adaptive,julia,none,1024,tol,0.001,1,0.055217,0.055217,0.055217,0.055217,0.055217
julia,tsit5,numerical,adaptive,julia,both,1024,tol,0.0001,1,0.10393,0.10393,0.10393,0.10393,0.10393
julia,tsit5,numerical,adaptive,julia,none,1024,tol,0.0001,1,0.065517,0.065517,0.065517,0.065517,0.065517
julia,tsit5,numerical,adaptive,julia,both,1024,tol,1.0e-5,1,0.139724,0.139724,0.139724,0.139724,0.139724
julia,tsit5,numerical,adaptive,julia,none,1024,tol,1.0e-5,1,0.07853,0.07853,0.07853,0.07853,0.07853
julia,tsit5,numerical,adaptive,julia,both,1024,tol,1.0e-6,1,0.137043,0.137043,0.137043,0.137043,0.137043
julia,tsit5,numerical,adaptive,julia,none,1024,tol,1.0e-6,1,0.099459,0.099459,0.099459,0.099459,0.099459
julia,vern7,performance,fixed,fixed,both,8,dt,0.0009765625,20,0.651107,0.66074285,0.701082,0.7140452500000001,0.727065
julia,vern7,performance,fixed,fixed,none,8,dt,0.0009765625,20,0.621855,0.6230709999999999,0.656344,0.6736672,0.722919
julia,vern7,performance,adaptive,julia,both,8,tol,1.0e-8,20,0.570135,0.5710365500000001,0.609755,0.6206137,0.639456
julia,vern7,performance,adaptive,julia,none,8,tol,1.0e-8,20,0.533614,0.55836815,0.5695085,0.580093,0.581461
julia,vern7,performance,fixed,fixed,both,32,dt,0.0009765625,20,0.650169,0.660372,0.6982375000000001,0.70805095,0.710463
julia,vern7,performance,fixed,fixed,none,32,dt,0.0009765625,20,0.609682,0.61143095,0.6549285,0.6604921500000001,0.6661
julia,vern7,performance,adaptive,julia,both,32,tol,1.0e-8,20,0.5586,0.56251495,0.6090085000000001,0.61807395,0.623602
julia,vern7,performance,adaptive,julia,none,32,tol,1.0e-8,20,0.523144,0.5337099,0.558044,0.5703980499999999,0.57114
julia,vern7,performance,fixed,fixed,both,128,dt,0.0009765625,20,0.658068,0.667758,0.708836,0.71671805,0.721678
julia,vern7,performance,fixed,fixed,none,128,dt,0.0009765625,20,0.627829,0.6308841999999999,0.6626055,0.74306145,0.807594
julia,vern7,performance,adaptive,julia,both,128,tol,1.0e-8,20,0.579851,0.5804922499999999,0.6243255000000001,0.6376163499999999,0.644862
julia,vern7,performance,adaptive,julia,none,128,tol,1.0e-8,20,0.54091,0.5438227,0.58601,0.5892115,0.589677
julia,vern7,performance,fixed,fixed,both,512,dt,0.0009765625,20,0.697985,0.6982291500000001,0.734355,0.7522107499999999,0.753004
julia,vern7,performance,fixed,fixed,none,512,dt,0.0009765625,20,0.653855,0.65464255,0.690244,0.697368,0.701301
julia,vern7,performance,adaptive,julia,both,512,tol,1.0e-8,20,0.624423,0.62572925,0.6712255,0.67559195,0.684863
julia,vern7,performance,adaptive,julia,none,512,tol,1.0e-8,20,0.582014,0.5908955499999999,0.6262464999999999,0.63071725,0.632318
julia,vern7,performance,fixed,fixed,both,2048,dt,0.0009765625,20,0.703572,0.71392225,0.7507355,0.7583317,0.775027
julia,vern7,performance,fixed,fixed,none,2048,dt,0.0009765625,20,0.660909,0.6617203,0.6968635,0.7080938,0.708774
julia,vern7,performance,adaptive,julia,both,2048,tol,1.0e-8,20,0.686787,0.6871024,0.7246855,0.73132975,0.733092
julia,vern7,performance,adaptive,julia,none,2048,tol,1.0e-8,20,0.665338,0.6679523999999999,0.6721809999999999,0.6780318,0.680213
julia,vern7,performance,fixed,fixed,both,8192,dt,0.0009765625,20,1.228382,1.23020125,1.2539995,1.27037555,1.275117
julia,vern7,performance,fixed,fixed,none,8192,dt,0.0009765625,20,1.123694,1.1402563,1.1585405,1.1821354,1.182751
julia,vern7,performance,adaptive,julia,both,8192,tol,1.0e-8,20,0.939194,0.9463123499999999,0.9852544999999999,1.0002361499999999,1.006148
julia,vern7,performance,adaptive,julia,none,8192,tol,1.0e-8,20,0.857848,0.85889205,0.898327,0.91778615,0.925161
julia,vern7,performance,fixed,fixed,both,32768,dt,0.0009765625,20,7.101847,7.1070093000000005,7.1548685,7.34107605,7.370413
julia,vern7,performance,fixed,fixed,none,32768,dt,0.0009765625,20,6.842643,6.8536867500000005,6.8739825,6.91395375,6.921701
julia,vern7,performance,adaptive,julia,both,32768,tol,1.0e-8,20,2.619826,2.62553075,2.6479095,2.8513614499999997,2.861193
julia,vern7,performance,adaptive,julia,none,32768,tol,1.0e-8,20,2.355858,2.3593492499999997,2.369372,2.3853193999999998,2.401249
julia,vern7,numerical,fixed,fixed,both,1024,dt,0.125,1,0.08286,0.08286,0.08286,0.08286,0.08286
julia,vern7,numerical,fixed,fixed,none,1024,dt,0.125,1,0.043148,0.043148,0.043148,0.043148,0.043148
julia,vern7,numerical,fixed,fixed,both,1024,dt,0.0625,1,0.088937,0.088937,0.088937,0.088937,0.088937
julia,vern7,numerical,fixed,fixed,none,1024,dt,0.0625,1,0.04874,0.04874,0.04874,0.04874,0.04874
julia,vern7,numerical,fixed,fixed,both,1024,dt,0.03125,1,0.10058,0.10058,0.10058,0.10058,0.10058
julia,vern7,numerical,fixed,fixed,none,1024,dt,0.03125,1,0.057848,0.057848,0.057848,0.057848,0.057848
julia,vern7,numerical,fixed,fixed,both,1024,dt,0.015625,1,0.116465,0.116465,0.116465,0.116465,0.116465
julia,vern7,numerical,fixed,fixed,none,1024,dt,0.015625,1,0.07642,0.07642,0.07642,0.07642,0.07642
julia,vern7,numerical,fixed,fixed,both,1024,dt,0.0078125,1,0.152087,0.152087,0.152087,0.152087,0.152087
julia,vern7,numerical,fixed,fixed,none,1024,dt,0.0078125,1,0.110329,0.110329,0.110329,0.110329,0.110329
julia,vern7,numerical,fixed,fixed,both,1024,dt,0.00390625,1,0.323851,0.323851,0.323851,0.323851,0.323851
julia,vern7,numerical,fixed,fixed,none,1024,dt,0.00390625,1,0.273311,0.273311,0.273311,0.273311,0.273311
julia,vern7,numerical,fixed,fixed,both,1024,dt,0.001953125,1,0.431424,0.431424,0.431424,0.431424,0.431424
julia,vern7,numerical,fixed,fixed,none,1024,dt,0.001953125,1,0.341467,0.341467,0.341467,0.341467,0.341467
julia,vern7,numerical,fixed,fixed,both,1024,dt,0.0009765625,1,0.716439,0.716439,0.716439,0.716439,0.716439
julia,vern7,numerical,fixed,fixed,none,1024,dt,0.0009765625,1,0.660621,0.660621,0.660621,0.660621,0.660621
julia,vern7,numerical,fixed,fixed,both,1024,dt,0.00048828125,1,1.304336,1.304336,1.304336,1.304336,1.304336
julia,vern7,numerical,fixed,fixed,none,1024,dt,0.00048828125,1,1.234121,1.234121,1.234121,1.234121,1.234121
julia,vern7,numerical,fixed,fixed,both,1024,dt,0.000244140625,1,2.436698,2.436698,2.436698,2.436698,2.436698
