framework,algorithm,phase,mode,tier,n,setting_kind,setting,golden_rmse,finite_trajectories,failed_trajectories,finals_path
julia,kvaerno3,numerical,fixed,fixed,1024,dt,0.015625,0.006462716569553426,1024,0,finals/julia/kvaerno3/fixed_fixed_dt_0p015625.csv
julia,kvaerno3,numerical,fixed,fixed,1024,dt,0.0078125,0.0008203159299277029,1024,0,finals/julia/kvaerno3/fixed_fixed_dt_0p0078125.csv
julia,kvaerno3,numerical,fixed,fixed,1024,dt,0.00390625,0.00010351103334952173,1024,0,finals/julia/kvaerno3/fixed_fixed_dt_0p00390625.csv
julia,kvaerno3,numerical,fixed,fixed,1024,dt,0.001953125,1.4947505247300292e-5,1024,0,finals/julia/kvaerno3/fixed_fixed_dt_0p001953125.csv
julia,kvaerno3,numerical,fixed,fixed,1024,dt,0.0009765625,9.843292530359857e-6,1024,0,finals/julia/kvaerno3/fixed_fixed_dt_0p0009765625.csv
julia,kvaerno3,numerical,fixed,fixed,1024,dt,0.00048828125,1.3885485097687644e-5,1024,0,finals/julia/kvaerno3/fixed_fixed_dt_0p00048828125.csv
julia,kvaerno3,numerical,fixed,fixed,1024,dt,0.000244140625,2.052853902661049e-5,1024,0,finals/julia/kvaerno3/fixed_fixed_dt_0p000244140625.csv
julia,kvaerno3,numerical,fixed,fixed,1024,dt,0.0001220703125,2.6846582281130773e-5,1024,0,finals/julia/kvaerno3/fixed_fixed_dt_0p0001220703125.csv
julia,kvaerno3,numerical,adaptive,julia,1024,tol,0.010000000000000002,0.05314455976314195,1024,0,finals/julia/kvaerno3/adaptive_julia_tol_0p01.csv
julia,kvaerno3,numerical,adaptive,julia,1024,tol,0.001,0.00490575691852534,1024,0,finals/julia/kvaerno3/adaptive_julia_tol_0p001.csv
julia,kvaerno3,numerical,adaptive,julia,1024,tol,0.0001,0.0004233327132120608,1024,0,finals/julia/kvaerno3/adaptive_julia_tol_0p0001.csv
julia,kvaerno3,numerical,adaptive,julia,1024,tol,1.0e-5,3.953132814085442e-5,1024,0,finals/julia/kvaerno3/adaptive_julia_tol_1em05.csv
julia,kvaerno3,numerical,adaptive,julia,1024,tol,1.0e-6,9.507324047968335e-6,1024,0,finals/julia/kvaerno3/adaptive_julia_tol_1em06.csv
julia,kvaerno3,numerical,adaptive,julia,1024,tol,1.0000000000000001e-7,1.2210980205399646e-5,1024,0,finals/julia/kvaerno3/adaptive_julia_tol_1em07.csv
julia,kvaerno3,numerical,adaptive,julia,1024,tol,1.0e-8,1.8307059510230896e-5,1024,0,finals/julia/kvaerno3/adaptive_julia_tol_1em08.csv
julia,kvaerno3,work_precision,fixed,fixed,131072,dt,0.0625,0.3157598966357976,131072,0,
julia,kvaerno3,work_precision,fixed,fixed,131072,dt,0.03125,0.04848478826200995,131072,0,
julia,kvaerno3,work_precision,fixed,fixed,131072,dt,0.015625,0.006453273486142017,131072,0,
julia,kvaerno3,work_precision,fixed,fixed,131072,dt,0.0078125,0.0008191479775523469,131072,0,
julia,kvaerno3,work_precision,fixed,fixed,131072,dt,0.00390625,0.0001032906308968636,131072,0,
julia,kvaerno3,work_precision,fixed,fixed,131072,dt,0.001953125,1.4598770001349353e-5,131072,0,
julia,kvaerno3,work_precision,fixed,fixed,131072,dt,0.0009765625,1.0041218366725888e-5,131072,0,
julia,kvaerno3,work_precision,fixed,fixed,131072,dt,0.00048828125,1.4014349991036234e-5,131072,0,
julia,kvaerno3,work_precision,fixed,fixed,131072,dt,0.000244140625,1.9815754483917368e-5,131072,0,
julia,kvaerno3,work_precision,fixed,fixed,131072,dt,0.0001220703125,2.7570235342445542e-5,131072,0,
julia,kvaerno3,work_precision,adaptive,julia,131072,tol,0.010000000000000002,0.05312303610113661,131072,0,
julia,kvaerno3,work_precision,adaptive,julia,131072,tol,0.001,0.0049045172469419605,131072,0,
julia,kvaerno3,work_precision,adaptive,julia,131072,tol,0.0001,0.00042321494760467695,131072,0,
julia,kvaerno3,work_precision,adaptive,julia,131072,tol,1.0e-5,3.9822500838344334e-5,131072,0,
julia,kvaerno3,work_precision,adaptive,julia,131072,tol,1.0e-6,9.500464744806748e-6,131072,0,
julia,kvaerno3,work_precision,adaptive,julia,131072,tol,1.0000000000000001e-7,1.2836244232835808e-5,131072,0,
julia,kvaerno3,work_precision,adaptive,julia,131072,tol,1.0e-8,1.880404480862125e-5,131072,0,
julia,kvaerno5,performance,fixed,fixed,8,dt,0.0009765625,,8,0,
julia,kvaerno5,performance,adaptive,julia,8,tol,1.0e-8,,8,0,
julia,kvaerno5,performance,fixed,fixed,32,dt,0.0009765625,,32,0,
julia,kvaerno5,performance,adaptive,julia,32,tol,1.0e-8,,32,0,
julia,kvaerno5,performance,fixed,fixed,128,dt,0.0009765625,,128,0,
julia,kvaerno5,performance,adaptive,julia,128,tol,1.0e-8,,128,0,
julia,kvaerno5,performance,fixed,fixed,512,dt,0.0009765625,,512,0,
julia,kvaerno5,performance,adaptive,julia,512,tol,1.0e-8,,512,0,
julia,kvaerno5,performance,fixed,fixed,2048,dt,0.0009765625,,2048,0,
julia,kvaerno5,performance,adaptive,julia,2048,tol,1.0e-8,,2048,0,
julia,kvaerno5,performance,fixed,fixed,8192,dt,0.0009765625,,8192,0,
julia,kvaerno5,performance,adaptive,julia,8192,tol,1.0e-8,,8192,0,
julia,kvaerno5,performance,fixed,fixed,32768,dt,0.0009765625,,32768,0,
julia,kvaerno5,performance,adaptive,julia,32768,tol,1.0e-8,,32768,0,
julia,kvaerno5,performance,fixed,fixed,131072,dt,0.0009765625,,131072,0,
julia,kvaerno5,performance,adaptive,julia,131072,tol,1.0e-8,,131072,0,
julia,kvaerno5,performance,fixed,fixed,524288,dt,0.0009765625,,524288,0,
julia,kvaerno5,performance,adaptive,julia,524288,tol,1.0e-8,,524288,0,
julia,kvaerno5,performance,fixed,fixed,2097152,dt,0.0009765625,,2097152,0,
julia,kvaerno5,performance,adaptive,julia,2097152,tol,1.0e-8,,2097152,0,
julia,kvaerno5,performance,fixed,fixed,8388608,dt,0.0009765625,,8388608,0,
julia,kvaerno5,performance,adaptive,julia,8388608,tol,1.0e-8,,8388608,0,
julia,kvaerno5,numerical,fixed,fixed,1024,dt,0.5,16.28547735965875,1024,0,finals/julia/kvaerno5/fixed_fixed_dt_0p5.csv
julia,kvaerno5,numerical,fixed,fixed,1024,dt,0.25,1.1342006068781263,1024,0,finals/julia/kvaerno5/fixed_fixed_dt_0p25.csv
julia,kvaerno5,numerical,fixed,fixed,1024,dt,0.125,0.15407132544288774,1024,0,finals/julia/kvaerno5/fixed_fixed_dt_0p125.csv
julia,kvaerno5,numerical,fixed,fixed,1024,dt,0.0625,0.010287136376894443,1024,0,finals/julia/kvaerno5/fixed_fixed_dt_0p0625.csv
julia,kvaerno5,numerical,fixed,fixed,1024,dt,0.03125,0.0004104820807731387,1024,0,finals/julia/kvaerno5/fixed_fixed_dt_0p03125.csv
julia,kvaerno5,numerical,fixed,fixed,1024,dt,0.015625,1.357896067588893e-5,1024,0,finals/julia/kvaerno5/fixed_fixed_dt_0p015625.csv
