framework,algorithm,phase,mode,tier,n,setting_kind,setting,sample,time_ms
julia,tsit5,performance,adaptive,julia,2048,tol,1.0e-8,17,0.461958
julia,tsit5,performance,adaptive,julia,2048,tol,1.0e-8,18,0.423007
julia,tsit5,performance,adaptive,julia,2048,tol,1.0e-8,19,0.414717
julia,tsit5,performance,fixed,fixed,8192,dt,0.0009765625,0,0.744524
julia,tsit5,performance,fixed,fixed,8192,dt,0.0009765625,1,0.761159
julia,tsit5,performance,fixed,fixed,8192,dt,0.0009765625,2,0.792181
julia,tsit5,performance,fixed,fixed,8192,dt,0.0009765625,3,0.750335
julia,tsit5,performance,fixed,fixed,8192,dt,0.0009765625,4,0.709735
julia,tsit5,performance,fixed,fixed,8192,dt,0.0009765625,5,0.737455
julia,tsit5,performance,fixed,fixed,8192,dt,0.0009765625,6,0.740229
julia,tsit5,performance,fixed,fixed,8192,dt,0.0009765625,7,0.747955
julia,tsit5,performance,fixed,fixed,8192,dt,0.0009765625,8,0.74157
julia,tsit5,performance,fixed,fixed,8192,dt,0.0009765625,9,0.747736
julia,tsit5,performance,fixed,fixed,8192,dt,0.0009765625,10,0.735503
julia,tsit5,performance,fixed,fixed,8192,dt,0.0009765625,11,0.744492
julia,tsit5,performance,fixed,fixed,8192,dt,0.0009765625,12,0.752749
julia,tsit5,performance,fixed,fixed,8192,dt,0.0009765625,13,0.709901
julia,tsit5,performance,fixed,fixed,8192,dt,0.0009765625,14,0.699935
julia,tsit5,performance,fixed,fixed,8192,dt,0.0009765625,15,0.729519
julia,tsit5,performance,fixed,fixed,8192,dt,0.0009765625,16,0.755347
julia,tsit5,performance,fixed,fixed,8192,dt,0.0009765625,17,0.746409
julia,tsit5,performance,fixed,fixed,8192,dt,0.0009765625,18,0.708818
julia,tsit5,performance,fixed,fixed,8192,dt,0.0009765625,19,0.740741
julia,tsit5,performance,adaptive,julia,8192,tol,1.0e-8,0,0.626501
julia,tsit5,performance,adaptive,julia,8192,tol,1.0e-8,1,0.619481
julia,tsit5,performance,adaptive,julia,8192,tol,1.0e-8,2,0.5942
julia,tsit5,performance,adaptive,julia,8192,tol,1.0e-8,3,0.636718
