traj,s1,s2,s3
199,1.98763072,2.37725043,0.696647108
200,2.01530957,2.41124034,0.71499902
201,2.04324484,2.44550943,0.733759642
202,2.07142234,2.48005676,0.752936184
203,2.09984136,2.51487803,0.77253598
204,2.12851,2.54997134,0.792564392
205,2.15743041,2.58533072,0.813028455
206,2.18658853,2.6209538,0.833934605
207,2.21599317,2.65683699,0.855289221
208,2.24564075,2.69297576,0.87709868
209,2.27553535,2.7293694,0.899374127
210,2.30566192,2.76601124,0.922121406
211,2.33603215,2.80289531,0.945341527
212,2.36663175,2.84001827,0.969045341
213,2.39746928,2.87737322,0.993239343
214,2.42854118,2.91495872,1.01793039
215,2.45984626,2.95276737,1.04312575
216,2.49137735,2.99079394,1.06883049
217,2.523139,3.02903175,1.09505355
218,2.55512619,3.0674727,1.12179852
219,2.58733392,3.1061151,1.14907193
220,2.61976004,3.14495134,1.17688549
221,2.65240216,3.18397355,1.20524132
222,2.68526459,3.22317266,1.23414552
223,2.71833324,3.26254416,1.26360357
224,2.75161147,3.30207992,1.29362631
225,2.78508973,3.3417716,1.32421386
226,2.81877899,3.38161421,1.35537934
227,2.85266161,3.4215939,1.38712108
228,2.88673854,3.46170926,1.41945052
229,2.92100763,3.5019443,1.45237195
230,2.9554615,3.5422976,1.48589063
231,2.9901104,3.58275318,1.52001143
232,3.02492118,3.62330413,1.55473471
233,3.05990958,3.66394329,1.59007883
234,3.09507751,3.70465827,1.62603939
235,3.13039637,3.74543762,1.66261792
236,3.16588569,3.78627443,1.69982779
237,3.20153427,3.82715392,1.73766923
238,3.23733592,3.86806583,1.77614236
239,3.27326035,3.90900588,1.81526053
240,3.30934405,3.94995379,1.85502303
241,3.34555197,3.99089789,1.8954258
242,3.3819015,4.03183174,1.93648267
243,3.41835499,4.07275009,1.97820377
244,3.45494413,4.11362076,2.02056837
245,3.49165726,4.15444136,2.06359339
246,3.52845669,4.19520903,2.10728812
247,3.56532192,4.23590517,2.15165091
248,3.6023016,4.27650452,2.19666648
249,3.63939738,4.31700182,2.24235988
250,3.67654181,4.35738945,2.2887187
251,3.71376443,4.39764595,2.33574843
252,3.75102425,4.43776417,2.38344812
253,3.78835011,4.4777298,2.43182349
254,3.82575798,4.51751184,2.48086381
255,3.86318994,4.55711555,2.53057384
256,3.90066433,4.59651804,2.5809567
257,3.93814945,4.63571167,2.6320107
258,3.97560835,4.67467594,2.68373013
259,4.01312685,4.7133975,2.73612046
260,4.05065584,4.75185299,2.7891736
261,4.08819103,4.79003191,2.84288287
262,4.12565041,4.82793283,2.89725685
263,4.16313648,4.86552382,2.95228624
264,4.20055485,4.90279675,3.00796461
265,4.23799038,4.93972588,3.064291
266,4.27530718,4.97631788,3.12126589
267,4.31251907,5.01254177,3.17886829
268,4.34977579,5.04837608,3.23711252
269,4.38685369,5.08381557,3.29597592
270,4.42391348,5.11884356,3.35546422
271,4.4608655,5.1534462,3.4155817
272,4.49764299,5.18760204,3.47628975
273,4.53442621,5.22129631,3.53761363
274,4.57103968,5.25451946,3.59952879
275,4.60736513,5.28724766,3.66199422
276,4.64372778,5.31948185,3.72507024
277,4.6797986,5.35118055,3.7886939
278,4.71586895,5.38236666,3.8529067
279,4.75164318,5.41299677,3.91765141
280,4.787251,5.4430275,3.98291016
281,4.82262373,5.47252941,4.04871273
282,4.85783958,5.50136614,4.11501837
283,4.8928194,5.5296855,4.18184948
284,4.92756319,5.55725574,4.24912548
285,4.96206903,5.58436489,4.31693268
286,4.99632549,5.6106329,4.38514948
287,5.0302968,5.63646889,4.45386839
288,5.06404495,5.66149139,4.52301073
289,5.09750175,5.6856823,4.59252739
290,5.13065863,5.70930719,4.66248322
291,5.16351461,5.73233032,4.73287439
292,5.19606209,5.75447416,4.80358744
293,5.22829723,5.77593088,4.87468243
294,5.26018953,5.79659843,4.94611597
295,5.29173946,5.81648779,5.017869
296,5.32294893,5.83576775,5.08998251
297,5.3537879,5.85416508,5.16236305
298,5.38426542,5.87174129,5.23500872
299,5.41435909,5.88877106,5.30798817
300,5.44408035,5.90464163,5.38111877
301,5.47338438,5.91984749,5.45450592
302,5.50229216,5.93416739,5.52808905
303,5.53075886,5.94757652,5.60182667
304,5.55882788,5.96054316,5.6758604
305,5.58644676,5.97228813,5.7499361
306,5.61362362,5.98322392,5.82414293
307,5.64034271,5.99331331,5.89846325
308,5.66664124,6.00284529,5.97297239
309,5.69242907,6.01120138,6.04745579
310,5.717731,6.01868248,6.12198973
311,5.74260139,6.02561617,6.19665575
312,5.76693201,6.03134155,6.27123928
313,5.79081535,6.03657103,6.34590483
314,5.81409645,6.04023695,6.42035437
315,5.83688927,6.04329872,6.49484682
316,5.85920715,6.0457077,6.56932688
317,5.88093519,6.04697323,6.6436305
318,5.90215302,6.04748917,6.71787977
