traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32
369,-1.70245624,-1.79094505,-1.10506546,-0.367639422,0.790433466,8.78017235,2.99291205,6.58376694,-0.903074384,1.82295644,6.20249271,-9.61364937,-3.73099637,9.50148964,-2.90157318,-1.98425686,-7.72111034,3.89923811,6.49632549,-7.88569498,-1.25016999,14.2326746,0.483186573,-3.45944834,2.8426106,8.03553581,4.05960894,3.71394849,7.05992699,4.94332647,-4.25991058,-3.26590085
370,-1.70556784,-1.78956306,-1.10048902,-0.364972681,0.805217624,8.79085159,3.04383349,6.58229589,-0.864933312,1.84999108,6.171556,-9.66660976,-3.77769589,9.48430634,-2.87202358,-1.93631589,-7.72916889,3.85478377,6.50705051,-7.91418171,-1.2957114,14.2414494,0.4616009,-3.45850825,2.82914019,8.0664587,4.07616329,3.72127056,7.07575226,4.89773273,-4.30588913,-3.2347858
371,-1.7087611,-1.78813994,-1.09591687,-0.362300247,0.820051849,8.8015852,3.09455705,6.58063126,-0.826673627,1.87688947,6.13974428,-9.71978569,-3.82505751,9.46615982,-2.8414619,-1.88929009,-7.73681498,3.81049395,6.51773596,-7.94270706,-1.34135556,14.2499104,0.440718114,-3.45744038,2.81562734,8.0971384,4.09283686,3.72869706,7.09146738,4.85146475,-4.35138226,-3.20347238
372,-1.71197987,-1.78666151,-1.09134984,-0.359616369,0.834925056,8.81236744,3.1449995,6.57880354,-0.788357794,1.90361094,6.10708284,-9.77313519,-3.87304473,9.44702053,-2.80993795,-1.84325409,-7.74407434,3.76639915,6.52827454,-7.9713068,-1.3872149,14.2579556,0.420289278,-3.4562993,2.80176568,8.12792683,4.11000013,3.73596716,7.10676622,4.80490828,-4.39609766,-3.172225
373,-1.71525764,-1.78513551,-1.08679104,-0.356929839,0.849801898,8.82320976,3.19516873,6.57678127,-0.750046909,1.93014634,6.07354689,-9.82673073,-3.92170715,9.42674732,-2.77739334,-1.79841495,-7.75104713,3.72248054,6.53878307,-7.99982452,-1.43306434,14.2657995,0.400562316,-3.45472836,2.78808045,8.15856552,4.12699509,3.7432065,7.121984,4.7578454,-4.44033003,-3.14079809
374,-1.71856999,-1.78355443,-1.08222103,-0.354226321,0.864823699,8.83408833,3.24511385,6.57470798,-0.711342454,1.9566474,6.038939,-9.88060665,-3.97117472,9.40539074,-2.74378109,-1.75448895,-7.75760889,3.6788528,6.54904413,-8.02849865,-1.47928452,14.2731714,0.381357491,-3.45317411,2.77402592,8.18927002,4.14451599,3.75035548,7.13682222,4.71039057,-4.48384619,-3.10940623
375,-1.72191334,-1.78192067,-1.07765555,-0.351512998,0.879847765,8.84501839,3.29475999,6.57246304,-0.672701538,1.98290861,6.00348568,-9.93464184,-4.02127552,9.38287258,-2.70925331,-1.71178305,-7.76390457,3.63519692,6.55933523,-8.05715084,-1.52550936,14.2802525,0.362829953,-3.45144105,2.75996304,8.2198267,4.16211891,3.75749063,7.15148306,4.6624403,-4.52682924,-3.07791281
376,-1.72530901,-1.78024387,-1.07309031,-0.348792434,0.894942582,8.85601234,3.34418869,6.57010126,-0.633844793,2.00904155,5.96705914,-9.98888111,-4.07211542,9.35922432,-2.6737268,-1.6701951,-7.76987505,3.59178424,6.56960726,-8.0856905,-1.57168317,14.2871523,0.344845146,-3.44923592,2.74600816,8.2502346,4.17963171,3.76457429,7.16600275,4.61399269,-4.56932688,-3.04632044
377,-1.72872102,-1.77851689,-1.06852889,-0.346063167,0.910090625,8.86705589,3.39337301,6.567626,-0.594871402,2.03498673,5.92969608,-10.0432739,-4.12366295,9.33439636,-2.63724136,-1.62963557,-7.7755332,3.54845405,6.57969379,-8.11442184,-1.61822319,14.2935486,0.327570319,-3.44718552,2.73176956,8.28063679,4.19755125,3.77159238,7.18019295,4.56514692,-4.61113739,-3.01475143
378,-1.73214877,-1.77673984,-1.06396961,-0.343324423,0.925276637,8.8781538,3.44229198,6.56502819,-0.555802405,2.06075525,5.89132977,-10.0978832,-4.17596245,9.30823421,-2.5997808,-1.59039032,-7.78098154,3.5052352,6.58965731,-8.14312267,-1.66490448,14.2996378,0.310812801,-3.44476581,2.71747708,8.3111105,4.21556044,3.77841258,7.19411182,4.51601124,-4.65232754,-2.98316145
