traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32
179,-4.31943655,-1.62013471,-1.59764659,-0.94512862,-0.958610892,5.57708549,-2.76409507,-4.42959213,-5.17405939,2.23831773,3.2341404,-7.2261405,-0.774063587,6.6738739,5.42529011,-5.18796253,1.45129848,8.16995239,6.90598536,-1.32609415,2.85126066,7.8805232,6.6707778,1.43412507,2.45879889,3.28597569,2.34357667,2.01661372,2.94195008,4.78811646,5.45172501,-0.286566556
180,-4.31390047,-1.60997343,-1.59937418,-0.941316903,-0.955656052,5.60790586,-2.81464863,-4.34904242,-5.20576382,2.16552615,3.27052999,-7.2339735,-0.78701973,6.69584703,5.37775755,-5.22982407,1.43505192,8.21064091,6.88589525,-1.36820853,2.85915709,7.92243624,6.66696692,1.39916289,2.46206117,3.2981348,2.35061193,2.02460814,2.9592464,4.81534863,5.44339752,-0.348428696
181,-4.30776024,-1.60017955,-1.60102081,-0.937493742,-0.952664614,5.63858461,-2.86416173,-4.26719332,-5.23623514,2.09330773,3.3069036,-7.2414031,-0.799790204,6.71773386,5.32973289,-5.27152967,1.41793633,8.25091743,6.86561441,-1.41036808,2.86685109,7.96447515,6.66272545,1.36398757,2.46549606,3.31045723,2.35768628,2.03262496,2.97663856,4.84259939,5.43442011,-0.410290897
182,-4.30106068,-1.59073222,-1.60258102,-0.933641136,-0.949535668,5.66924143,-2.91281581,-4.18381548,-5.26555634,2.02159715,3.3433733,-7.24839878,-0.812372565,6.73963404,5.28113508,-5.31304789,1.39994502,8.29092884,6.84494829,-1.45255208,2.8744452,8.00671959,6.65795183,1.32871008,2.46917462,3.32285762,2.36467004,2.04062247,2.99409795,4.86983871,5.42480993,-0.472114533
183,-4.29376364,-1.58165419,-1.60406661,-0.929784834,-0.946389318,5.69977093,-2.96041942,-4.09915638,-5.29362583,1.950436,3.37992167,-7.254951,-0.824713647,6.76152182,5.23198891,-5.35438681,1.38106334,8.33056641,6.82396555,-1.49481869,2.88186693,8.04919434,6.65265083,1.29310763,2.47303629,3.33547449,2.37174225,2.04866958,3.01167178,4.89709711,5.41453505,-0.533905089
184,-4.28595924,-1.57294405,-1.60548496,-0.925926447,-0.943205476,5.73005962,-3.00678539,-4.01361036,-5.3204298,1.88019264,3.41629314,-7.26112223,-0.836899281,6.78327417,5.1825037,-5.39546824,1.36135387,8.369771,6.80279064,-1.5370971,2.88906693,8.09174347,6.6469965,1.25739241,2.47700381,3.34817004,2.37885737,2.05674863,3.02928495,4.92426252,5.40365219,-0.595480978
185,-4.2774992,-1.56457937,-1.60680926,-0.922036111,-0.939890742,5.76038837,-3.05233884,-3.92639351,-5.34612226,1.81037211,3.45282292,-7.26683617,-0.848890364,6.80509424,5.13234949,-5.4363966,1.34070647,8.40865421,6.78124857,-1.57940304,2.89614749,8.13453579,6.64075851,1.22151232,2.48122692,3.36096287,2.38587451,2.064852,3.04707837,4.95154047,5.39204788,-0.657144487
186,-4.26857376,-1.55654764,-1.60806024,-0.918136716,-0.936517179,5.79058743,-3.09682226,-3.83797073,-5.3706336,1.74126518,3.48928714,-7.27213526,-0.860695541,6.82682753,5.08174515,-5.4771266,1.31916928,8.44702435,6.7595439,-1.62178695,2.90295386,8.17743778,6.63415146,1.18531072,2.48549771,3.37393904,2.39305067,2.07296419,3.06484795,4.97867823,5.37982988,-0.718634486
187,-4.25909138,-1.5489043,-1.60926807,-0.91425842,-0.933152139,5.82053328,-3.13999796,-3.74880075,-5.39385843,1.67309844,3.52561522,-7.27703905,-0.87235266,6.8484931,5.03067064,-5.51761389,1.29674566,8.48503304,6.73748636,-1.66420197,2.9096117,8.22059155,6.62694693,1.14890587,2.4900372,3.38710856,2.40019655,2.08108377,3.08273149,5.00582743,5.36694908,-0.779994071
188,-4.24907827,-1.54160118,-1.61038244,-0.910357475,-0.929686606,5.85040569,-3.18215179,-3.65836287,-5.41591263,1.60561836,3.5619638,-7.28151274,-0.883820593,6.87016869,4.97903585,-5.55789948,1.27339494,8.52258492,6.71525669,-1.70664907,2.9160192,8.26378822,6.61942434,1.11246252,2.49464488,3.40025926,2.40734839,2.08928537,3.10073233,5.03294373,5.35339308,-0.841222405
