algorithm,phase,mode,cubie_tier,transfers,n,setting_kind,setting,cubie_min_ms,julia_min_ms,julia_over_cubie_speedup
tsit5,performance,adaptive,default,none,512,tol,1e-08,0.3857879200950265,0.339506,0.880032739014673
tsit5,performance,adaptive,default,none,524288,tol,1e-08,4.899416002444923,12.60914,2.5736006074413247
tsit5,performance,adaptive,default,none,8,tol,1e-08,0.40249398443847895,0.2804,0.696656374606908
tsit5,performance,adaptive,default,none,8192,tol,1e-08,0.4056890029460192,0.477163,1.1761792815061618
tsit5,performance,adaptive,default,none,8388608,tol,1e-08,72.75837199995294,196.293701,2.6978847327717412
tsit5,performance,adaptive,pi,both,128,tol,1e-08,0.44031301513314247,0.346284,0.7864496122043773
tsit5,performance,adaptive,pi,both,131072,tol,1e-08,1.8589009996503592,4.325881,2.327117474687278
tsit5,performance,adaptive,pi,both,2048,tol,1e-08,0.45720196794718504,0.438516,0.9591297298410938
tsit5,performance,adaptive,pi,both,2097152,tol,1e-08,24.195185978896916,62.016304,2.5631670719163195
tsit5,performance,adaptive,pi,both,32,tol,1e-08,0.4647970199584961,0.332655,0.715699511218261
tsit5,performance,adaptive,pi,both,32768,tol,1e-08,0.7374139968305826,1.416301,1.9206321090829368
tsit5,performance,adaptive,pi,both,512,tol,1e-08,0.4526840057224035,0.380531,0.8406106581847086
tsit5,performance,adaptive,pi,both,524288,tol,1e-08,6.313635036349297,15.91019,2.5199730279626165
tsit5,performance,adaptive,pi,both,8,tol,1e-08,0.5775999743491411,0.315605,0.5464075727420769
tsit5,performance,adaptive,pi,both,8192,tol,1e-08,0.5047490121796727,0.623797,1.2358558113986966
tsit5,performance,adaptive,pi,both,8388608,tol,1e-08,96.44754399778321,289.30533,2.9996132406093152
tsit5,performance,adaptive,pi,none,128,tol,1e-08,0.3510259557515383,0.311792,0.888230613409942
tsit5,performance,adaptive,pi,none,131072,tol,1e-08,1.271246001124382,3.436657,2.7033768420591855
tsit5,performance,adaptive,pi,none,2048,tol,1e-08,0.36094803363084793,0.380245,1.0534618963706217
tsit5,performance,adaptive,pi,none,2097152,tol,1e-08,14.868222002405673,49.390677,3.3218953141813863
tsit5,performance,adaptive,pi,none,32,tol,1e-08,0.37551496643573046,0.287659,0.7660387087374132
tsit5,performance,adaptive,pi,none,32768,tol,1e-08,0.5404059775173664,1.120695,2.073802005574569
