framework,algorithm,phase,mode,tier,transfers,n,setting_kind,setting,sample,time_ms
cubie,tsit5,performance,adaptive,default,both,32,tol,1e-08,13,0.7906390019343235
cubie,tsit5,performance,adaptive,default,none,32,tol,1e-08,13,0.48005799908423796
cubie,tsit5,performance,adaptive,default,both,32,tol,1e-08,14,0.789477999205701
cubie,tsit5,performance,adaptive,default,none,32,tol,1e-08,14,0.47951899614417925
cubie,tsit5,performance,adaptive,default,both,32,tol,1e-08,15,0.7829370006220415
cubie,tsit5,performance,adaptive,default,none,32,tol,1e-08,15,0.4781579991686158
cubie,tsit5,performance,adaptive,default,both,32,tol,1e-08,16,0.7820500031812117
cubie,tsit5,performance,adaptive,default,none,32,tol,1e-08,16,0.4872860008617863
cubie,tsit5,performance,adaptive,default,both,32,tol,1e-08,17,0.7872300047893077
cubie,tsit5,performance,adaptive,default,none,32,tol,1e-08,17,0.4786019999301061
cubie,tsit5,performance,adaptive,default,both,32,tol,1e-08,18,0.7910440035630018
cubie,tsit5,performance,adaptive,default,none,32,tol,1e-08,18,0.48463499842910096
cubie,tsit5,performance,adaptive,default,both,32,tol,1e-08,19,0.7856419979361817
cubie,tsit5,performance,adaptive,default,none,32,tol,1e-08,19,0.4801320028491318
cubie,tsit5,performance,adaptive,pi,both,32,tol,1e-08,0,0.8950920018833131
cubie,tsit5,performance,adaptive,pi,none,32,tol,1e-08,0,0.4590739990817383
cubie,tsit5,performance,adaptive,pi,both,32,tol,1e-08,1,0.7468749972758815
cubie,tsit5,performance,adaptive,pi,none,32,tol,1e-08,1,0.4346749992691912
cubie,tsit5,performance,adaptive,pi,both,32,tol,1e-08,2,0.7376810026471503
cubie,tsit5,performance,adaptive,pi,none,32,tol,1e-08,2,0.43481000466272235
cubie,tsit5,performance,adaptive,pi,both,32,tol,1e-08,3,0.7386880024569109
cubie,tsit5,performance,adaptive,pi,none,32,tol,1e-08,3,0.43561000347835943
cubie,tsit5,performance,adaptive,pi,both,32,tol,1e-08,4,0.7397410008707084
cubie,tsit5,performance,adaptive,pi,none,32,tol,1e-08,4,0.4343209948274307
cubie,tsit5,performance,adaptive,pi,both,32,tol,1e-08,5,0.7356650021392852
cubie,tsit5,performance,adaptive,pi,none,32,tol,1e-08,5,0.437695998698473
cubie,tsit5,performance,adaptive,pi,both,32,tol,1e-08,6,0.742165997507982
cubie,tsit5,performance,adaptive,pi,none,32,tol,1e-08,6,0.43556799937505275
cubie,tsit5,performance,adaptive,pi,both,32,tol,1e-08,7,0.745899997127708
cubie,tsit5,performance,adaptive,pi,none,32,tol,1e-08,7,0.44198300020070747
cubie,tsit5,performance,adaptive,pi,both,32,tol,1e-08,8,0.7420740002999082
cubie,tsit5,performance,adaptive,pi,none,32,tol,1e-08,8,0.43780499981949106
cubie,tsit5,performance,adaptive,pi,both,32,tol,1e-08,9,0.7399930036626756
cubie,tsit5,performance,adaptive,pi,none,32,tol,1e-08,9,0.4367060028016567
cubie,tsit5,performance,adaptive,pi,both,32,tol,1e-08,10,0.7438620013999753
cubie,tsit5,performance,adaptive,pi,none,32,tol,1e-08,10,0.44043899833923206
cubie,tsit5,performance,adaptive,pi,both,32,tol,1e-08,11,0.7431940030073747
cubie,tsit5,performance,adaptive,pi,none,32,tol,1e-08,11,0.4351169991423376
cubie,tsit5,performance,adaptive,pi,both,32,tol,1e-08,12,0.7480510030291043
cubie,tsit5,performance,adaptive,pi,none,32,tol,1e-08,12,0.43634999747155234
cubie,tsit5,performance,adaptive,pi,both,32,tol,1e-08,13,0.7354049957939424
cubie,tsit5,performance,adaptive,pi,none,32,tol,1e-08,13,0.4417400050442666
cubie,tsit5,performance,adaptive,pi,both,32,tol,1e-08,14,0.7410780017380603
cubie,tsit5,performance,adaptive,pi,none,32,tol,1e-08,14,0.43677100620698184
cubie,tsit5,performance,adaptive,pi,both,32,tol,1e-08,15,0.7448690012097359
cubie,tsit5,performance,adaptive,pi,none,32,tol,1e-08,15,0.4371049944893457
cubie,tsit5,performance,adaptive,pi,both,32,tol,1e-08,16,0.7408969977404922
cubie,tsit5,performance,adaptive,pi,none,32,tol,1e-08,16,0.4414119975990616
cubie,tsit5,performance,adaptive,pi,both,32,tol,1e-08,17,0.7409989993902855
cubie,tsit5,performance,adaptive,pi,none,32,tol,1e-08,17,0.4406239968375303
cubie,tsit5,performance,adaptive,pi,both,32,tol,1e-08,18,0.7448559990734793
