traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20
663,-6.7797575,6.51049614,3.25541329,2.53209662,8.17846298,3.65259552,0.00867408328,8.33627987,8.49877548,-1.05818152,15.2323694,-0.768892407,8.694561,-7.19345808,4.30250883,0.696745574,-2.98195577,8.77185345,-3.67947888,-5.55023336
664,-6.81144428,6.47692776,3.30157852,2.54222727,8.17720509,3.52213955,-0.0944199562,8.22081375,8.72175789,-0.861825764,15.201355,-0.77385217,8.74330616,-7.17144156,4.34380102,0.685262084,-3.00490093,8.76778126,-3.6640327,-5.54035759
665,-6.84306097,6.44221163,3.34824324,2.55245519,8.1753273,3.39062405,-0.197139159,8.09977436,8.94648743,-0.659858048,15.1624937,-0.786524534,8.79548836,-7.14700413,4.38559961,0.673955142,-3.02768803,8.76456928,-3.64913869,-5.52928352
666,-6.87414074,6.40778542,3.39419413,2.56279778,8.17312622,3.25911641,-0.298549652,7.97412109,9.17017746,-0.454062402,15.1163502,-0.805407345,8.84966564,-7.12133741,4.42741442,0.661893666,-3.0511198,8.7597971,-3.63296175,-5.5204196
667,-6.90536308,6.37229061,3.44072342,2.57329512,8.17027092,3.12613869,-0.399729431,7.84237766,9.39559555,-0.242447436,15.0614777,-0.832205594,8.90757942,-7.09337425,4.46934271,0.65017581,-3.07394314,8.75593567,-3.61764216,-5.5100522
668,-6.93610477,6.33667994,3.48687243,2.58389258,8.16700172,2.99267817,-0.499864489,7.70536757,9.62065315,-0.0262485743,14.9982424,-0.866061747,8.96812057,-7.06349659,4.51150131,0.637995422,-3.09712553,8.75125885,-3.60161853,-5.50083113
669,-6.96657276,6.30073071,3.53287768,2.59461427,8.16321754,2.85827684,-0.599225819,7.56258917,9.84562778,0.194698051,14.9260826,-0.907338679,9.03150368,-7.03198433,4.55357122,0.625329077,-3.12053823,8.74609852,-3.58521938,-5.49218512
670,-6.99684954,6.26410151,3.5789361,2.6054461,8.15899467,2.72470069,-0.696304083,7.4160881,10.0674582,0.417994887,14.8458061,-0.954260767,9.097332,-6.99855566,4.59577942,0.612532973,-3.14396524,8.74116516,-3.5689137,-5.48316479
671,-7.0268178,6.22744894,3.62461615,2.61641145,8.15441895,2.59154558,-0.79134953,7.26554251,10.2865448,0.643900692,14.7569923,-1.00721717,9.16586113,-6.96302414,4.63805437,0.599499345,-3.16743231,8.73555183,-3.5521574,-5.47513056
672,-7.05656862,6.18992376,3.67055702,2.62749624,8.1492672,2.45742154,-0.885426998,7.10912943,10.5051756,0.874570847,14.6581984,-1.06790745,9.23748779,-6.92507219,4.68043137,0.58638984,-3.19073534,8.73035717,-3.53573155,-5.46633196
673,-7.08609962,6.15223694,3.71621037,2.63873482,8.14354229,2.32160115,-0.978914917,6.94594145,10.7238016,1.11045384,14.5483379,-1.13697779,9.31270218,-6.8846674,4.72275019,0.572581291,-3.21445251,8.72407532,-3.51851797,-5.45898247
674,-7.11535645,6.1136179,3.76196074,2.65003443,8.13728046,2.18630576,-1.07020938,6.77844191,10.939208,1.34894097,14.4288378,-1.21236062,9.39042568,-6.84200573,4.76518583,0.55862093,-3.23812795,8.71832085,-3.50164104,-5.45074844
675,-7.14435339,6.07495737,3.80746722,2.66151786,8.13073349,2.05195713,-1.15866113,6.60797691,11.1495161,1.58803737,14.3005524,-1.29261267,9.47015285,-6.79724646,4.80744076,0.544506192,-3.26167154,8.71212769,-3.48450947,-5.44312906
676,-7.17293501,6.03637362,3.8523984,2.67311263,8.12380695,1.91777861,-1.244941,6.4332881,11.3557587,1.82880676,14.1625977,-1.37881041,9.551651,-6.75089979,4.84938955,0.529369652,-3.28596306,8.70450401,-3.46627569,-5.43748474
677,-7.20151615,5.99662781,3.89788008,2.68489718,8.11610985,1.78147995,-1.33049691,6.25108004,11.5618296,2.07515216,14.0112524,-1.47422493,9.63736439,-6.70093298,4.8913846,0.514344454,-3.30976415,8.69771576,-3.4487462,-5.43041039
678,-7.22964287,5.95659399,3.94297385,2.69674706,8.10814285,1.64721811,-1.41245651,6.06721258,11.7611351,2.32050848,13.8514357,-1.57368696,9.72430897,-6.64866161,4.93334675,0.499115676,-3.33358455,8.6906929,-3.43106318,-5.42372799
679,-7.25760221,5.91642332,3.98779249,2.70877218,8.09959698,1.51147568,-1.49302864,5.87685776,11.9578276,2.56931496,13.6789656,-1.68099356,9.81374264,-6.5942502,4.97475386,0.482914925,-3.35789156,8.68237209,-3.41252589,-5.41860485
680,-7.28531265,5.87544584,4.03264713,2.72089505,8.09080124,1.37897122,-1.5691154,5.68705702,12.1456938,2.81464839,13.4997396,-1.789976,9.90349674,-6.53783941,5.01605511,0.46697557,-3.3817637,8.67512417,-3.39472771,-5.41200733
681,-7.31262684,5.83420515,4.07727051,2.73317146,8.0812912,1.24360621,-1.6445291,5.4885931,12.3325825,3.06543374,13.3049974,-1.90927291,9.99643898,-6.47820616,5.05702448,0.450012714,-3.40620613,8.6665802,-3.37601852,-5.40700245
682,-7.33979177,5.79271317,4.12166405,2.74560499,8.0715723,1.11085474,-1.71567941,5.2903142,12.5105124,3.31246495,13.1031799,-2.03022408,10.0890961,-6.41729212,5.09733105,0.432788581,-3.43055415,8.65786648,-3.35726905,-5.40215921
683,-7.366714,5.75039625,4.16610622,2.75816846,8.06113338,0.976748168,-1.78499758,5.08566952,12.685173,3.56224227,12.8869829,-2.15955329,10.1845083,-6.3526268,5.13738585,0.415197134,-3.4548614,8.64915848,-3.33862567,-5.39716816
684,-7.39324188,5.70805025,4.21010637,2.77085423,8.05049515,0.844484806,-1.8504864,4.88012123,12.8518143,3.80941129,12.6622953,-2.29173446,10.279501,-6.28622437,5.17697668,0.397168338,-3.47926998,8.63970947,-3.31952238,-5.39313221
685,-7.41957235,5.66498232,4.25408888,2.78367662,8.03931999,0.712703943,-1.91293108,4.67145634,13.0120783,4.05568266,12.4265556,-2.42878819,10.3750162,-6.21757936,5.2159481,0.378658205,-3.50375152,8.63038349,-3.30051613,-5.38872719
686,-7.44571829,5.62133551,4.2981019,2.79671788,8.02750206,0.579955339,-1.97281849,4.45775509,13.1669273,4.30229855,12.1773758,-2.57260847,10.4715891,-6.1461997,5.25405788,0.359480232,-3.52842927,8.62062359,-3.28123116,-5.38479805
