framework,algorithm,phase,mode,tier,transfers,n,setting_kind,setting,samples,min_ms,p05_ms,median_ms,p95_ms,max_ms
julia,vern7,performance,fixed,fixed,both,524288,dt,0.0009765625,10,2913.6247,2913.9779949999997,2915.58005,2918.76126,2918.976
julia,vern7,performance,fixed,fixed,none,524288,dt,0.0009765625,10,2897.2876,2897.29039,2897.6097499999996,2898.52977,2898.7572
julia,vern7,performance,adaptive,julia,both,524288,tol,1.0e-8,5,3041.0939,3041.0993399999998,3041.3126,3047.0988199999997,3048.2065
julia,vern7,performance,adaptive,julia,none,524288,tol,1.0e-8,5,3024.2952,3024.81842,3027.4048,3039.9981799999996,3042.4446
julia,vern7,performance,fixed,fixed,both,2097152,dt,0.0009765625,3,11689.7223,11690.104159999999,11693.5409,11697.919310000001,11698.4058
julia,vern7,performance,fixed,fixed,none,2097152,dt,0.0009765625,3,11619.7377,11619.839960000001,11620.7603,11623.023799999999,11623.2753
julia,vern7,performance,adaptive,julia,both,2097152,tol,1.0e-8,3,12203.5846,12203.80602,12205.7988,12206.651820000001,12206.7466
julia,vern7,performance,adaptive,julia,none,2097152,tol,1.0e-8,3,12130.8724,12131.07198,12132.8682,12136.719840000002,12137.1478
julia,vern7,performance,fixed,fixed,both,8388608,dt,0.0009765625,3,46791.8746,46792.45872000001,46797.7158,46801.8828,46802.3458
julia,vern7,performance,fixed,fixed,none,8388608,dt,0.0009765625,3,46516.2705,46516.37479,46517.3134,46522.63186000001,46523.2228
julia,vern7,performance,adaptive,julia,both,8388608,tol,1.0e-8,3,49060.356,49060.382040000004,49060.6164,49085.4132,49088.1684
julia,vern7,performance,adaptive,julia,none,8388608,tol,1.0e-8,3,48783.1574,48783.51955,48786.7789,48787.84756,48787.9663
julia,vern7,work_precision,fixed,fixed,both,131072,dt,0.0625,20,16.5751,16.62222,16.958849999999998,17.48939,17.9471
julia,vern7,work_precision,fixed,fixed,none,131072,dt,0.0625,20,12.1357,12.136365,12.2316,12.4185,12.6332
julia,vern7,work_precision,fixed,fixed,both,131072,dt,0.03125,20,27.7344,27.87918,28.2912,32.362440000000035,80.5605
julia,vern7,work_precision,fixed,fixed,none,131072,dt,0.03125,20,23.3971,23.39976,23.525,24.428285,24.4736
julia,vern7,work_precision,fixed,fixed,both,131072,dt,0.015625,20,49.981,50.12663500000001,50.543350000000004,77.75231500000001,80.9161
julia,vern7,work_precision,fixed,fixed,none,131072,dt,0.015625,20,45.747,45.74966,45.820800000000006,45.98693,46.0749
julia,vern7,work_precision,fixed,fixed,both,131072,dt,0.0078125,20,94.5189,94.53315,94.97550000000001,96.06795500000001,96.0728
julia,vern7,work_precision,fixed,fixed,none,131072,dt,0.0078125,20,90.1682,90.209905,90.31604999999999,90.471555,90.6094
julia,vern7,work_precision,fixed,fixed,both,131072,dt,0.00390625,10,183.1736,183.23597,183.55,184.090665,184.3023
julia,vern7,work_precision,fixed,fixed,none,131072,dt,0.00390625,10,178.6561,178.67918500000002,178.87385,179.087915,179.1281
julia,vern7,work_precision,fixed,fixed,both,131072,dt,0.001953125,10,360.5624,360.64349000000004,361.04364999999996,361.539385,361.6477
