package,key,analysis,problem,algorithm,mode,setting_kind,setting,n,states,tier,transfers,min_ms,median_ms,p05_ms,p95_ms,max_ms,samples,errored_pct,error,build_s,recorded_utc
julia,windows_RTX-4070-SUPER,wp,ring_modulator,rosenbrock23_sciml,fixed,dt,3.125e-05,131072,15,default,d2h,648.982,651.60675,649.218115,653.89034,654.0266,10,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,wp,ring_modulator,rosenbrock23_sciml,fixed,dt,1.5625e-05,131072,15,default,d2h,1314.6379,1319.73255,1314.66283,1322.673155,1322.7839,10,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,wp,ring_modulator,rosenbrock23_sciml,fixed,dt,7.8125e-06,131072,15,default,d2h,2585.7462,2590.7967,2585.80551,2598.64752,2598.7449,10,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,wp,ring_modulator,rosenbrock23_sciml,fixed,dt,3.90625e-06,131072,15,default,d2h,5186.389,5214.3572,5189.18582,5376.39167,5394.3955,3,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,wp,ring_modulator,rosenbrock23_sciml,fixed,dt,1.953125e-06,131072,15,default,d2h,24723.9841,27565.7009,24822.47884,33616.98526,33646.4617,10,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,wp,ring_modulator,rosenbrock23_sciml,fixed,dt,9.765625e-07,131072,15,default,d2h,45905.3041,47867.4993,46780.06963,87579.02272,93823.6882,10,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,wp,ring_modulator,rosenbrock23_sciml,fixed,dt,4.8828125e-07,131072,15,default,d2h,nan,nan,nan,nan,nan,0,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,wp,ring_modulator,rosenbrock23_sciml,fixed,dt,2.44140625e-07,131072,15,default,d2h,nan,nan,nan,nan,nan,0,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,wp,ring_modulator,rosenbrock23_sciml,fixed,dt,1.220703125e-07,131072,15,default,d2h,nan,nan,nan,nan,nan,0,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,wp,ring_modulator,tsit5,fixed,dt,6.25e-05,131072,15,default,d2h,7.2566,8.82385,7.275315,11.42948,14.2316,20,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,wp,ring_modulator,tsit5,fixed,dt,3.125e-05,131072,15,default,d2h,8.6954,10.0986,8.740905,13.192775,15.2462,20,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,wp,ring_modulator,tsit5,fixed,dt,1.5625e-05,131072,15,default,d2h,14.4518,16.1054,14.497115,18.62232,18.8032,20,nan,nan,nan,2026-09-08T05:44:47Z
